name,dates,lang,exam_date,return_date,link,days_inbetween,reporter,semester,comment,Column
BIO 114 Evolution and Biodiversity I,01/14/2020 11:45 → 02/05/2020 16:43,de,"Jan 14, 2020 11:45 AM","Feb 5, 2020 4:43 PM",https://bestande.ch/uzh/50742527/chat,22,lehaha,20192,,"Feb 5, 2020 7:33 PM"
BIO 133 Anthropology,01/16/2020 16:45 → 02/05/2020 19:26,de,"Jan 16, 2020 4:45 PM","Feb 5, 2020 7:26 PM",https://bestande.ch/uzh/50033815/chat,20,mrsf1,20192,,"Feb 5, 2020 7:35 PM"
Arabic I A1.1,12/19/2019 14:45 → 02/05/2020 19:56,en,"Dec 19, 2019 2:45 PM","Feb 5, 2020 7:56 PM",https://bestande.ch/uzh/50046984/chat,48,bacteriophage,20192,,"Feb 5, 2020 7:36 PM"
Governance (L),12/20/2019 13:45 → 02/07/2020 8:55,de,"Dec 20, 2019 1:45 PM","Feb 7, 2020 8:55 AM",https://bestande.ch/uzh/50045662,48,bank93,20192,,"Feb 5, 2020 8:06 PM"
BIO 332 Cell cycle and cell proliferation,01/28/2019 12:00 → 01/29/2019 12:00,en,"Jan 28, 2019 12:00 PM","Jan 29, 2019 12:00 PM",https://bestande.ch/uzh/50372413/chat,1,ian,20182,,"Feb 7, 2020 9:46 AM"
BIO 332 Cell cycle and cell proliferation,01/27/2020 12:00 → 01/31/2020 12:00,en,"Jan 27, 2020 12:00 PM","Jan 31, 2020 12:00 PM",https://bestande.ch/uzh/50372413/chat,4,ian,20192,,"Feb 7, 2020 9:48 AM"
The Economics of Sports: Governance and Markets (L),01/13/2020 18:00 → 02/07/2020 10:01,en,"Jan 13, 2020 6:00 PM","Feb 7, 2020 10:01 AM",https://bestande.ch/uzh/50620657/timetable,24,jii,20192,,"Feb 7, 2020 9:51 AM"
HRM and Organizational Behavior (L+E),01/14/2020 12:00 → 02/07/2020 10:07,de,"Jan 14, 2020 12:00 PM","Feb 7, 2020 10:07 AM",https://bestande.ch/uzh/50922405,23,librarybanana18,20192,,"Feb 7, 2020 10:02 AM"
Lineare Optimierung (V) (Linear Programming),01/14/2020 18:00 → 02/07/2020 11:06,de,"Jan 14, 2020 6:00 PM","Feb 7, 2020 11:06 AM",https://bestande.ch/uzh/50332398,23,gebarzt,20192,,"Feb 7, 2020 10:12 AM"
CHE 175 Fundamentals of Chemistry for Students of Biomedicine,01/13/2020 17:00 → 02/07/2020 12:40,de,"Jan 13, 2020 5:00 PM","Feb 7, 2020 12:40 PM",https://bestande.ch/uzh/50938710,24,Pruefungsprofessor17,20192,,"Feb 9, 2020 5:35 PM"
BIO 134 Programming in Biology,01/23/2020 11:30 → 02/07/2020 13:03,de,"Jan 23, 2020 11:30 AM","Feb 7, 2020 1:03 PM",https://bestande.ch/uzh/50795623/chat,15,biomed,20192,,"Feb 9, 2020 5:38 PM"
"CHE 101 Fundamentals of Chemistry, Part 1",01/27/2020 12:00 → 02/07/2020 15:19,de,"Jan 27, 2020 12:00 PM","Feb 7, 2020 3:19 PM",https://bestande.ch/uzh/50740659/chat,11,commandeur4,20192,,"Feb 9, 2020 5:40 PM"
BIO 111 Molecular and Classical Genetics,01/20/2020 12:20 → 02/07/2020 20:34,de,"Jan 20, 2020 12:20 PM","Feb 7, 2020 8:34 PM",https://bestande.ch/uzh/50742524/chat,18,commandeur4,20192,,"Feb 9, 2020 5:41 PM"
PHY 118 Physics I for natural sciences,01/16/2019 12:00 → 01/21/2019 12:00,de,"Jan 16, 2019 12:00 PM","Jan 21, 2019 12:00 PM",https://bestande.ch/uzh/50747127/chat,5,DMSO,20182,,"Feb 9, 2020 5:42 PM"
Change Management,01/16/2020 12:00 → 02/10/2020 9:06,de,"Jan 16, 2020 12:00 PM","Feb 10, 2020 9:06 AM",https://bestande.ch/uzh/50491828,24,Michael Wolf,20192,,"Feb 9, 2020 5:44 PM"
Advanced Microeconomics I (L+E),01/15/2020 12:00 → 02/10/2020 9:12,en,"Jan 15, 2020 12:00 PM","Feb 10, 2020 9:12 AM",https://bestande.ch/uzh/50368922/chat,25,janunica2,20192,,"Feb 11, 2020 6:09 PM"
CHE 203 Organic Chemistry I,02/03/2020 12:00 → 02/10/2020 10:57,en,"Feb 3, 2020 12:00 PM","Feb 10, 2020 10:57 AM",https://bestande.ch/uzh/50772226/chat,6,DMSO,20192,,"Feb 11, 2020 6:12 PM"
Software Construction (L+E) (Softwarekonstruktion),01/14/2020 18:00 → 02/10/2020 11:18,de,"Jan 14, 2020 6:00 PM","Feb 10, 2020 11:18 AM",https://bestande.ch/uzh/50840771/chat,26,züriman18,20192,,"Feb 11, 2020 6:13 PM"
"BIO 615 Virology: Principles of Molecular Biology, Pathogenesis, and Control of Human Viruses",01/22/2020 15:00 → 02/10/2020 14:47,en,"Jan 22, 2020 3:00 PM","Feb 10, 2020 2:47 PM",https://bestande.ch/uzh/50495278/chat,18,Biomed_,20192,,"Feb 11, 2020 6:17 PM"
BIO 617 Principles of biosafety in medical and biological research,01/21/2020 15:00 → 02/10/2020 18:09,en,"Jan 21, 2020 3:00 PM","Feb 10, 2020 6:09 PM",https://bestande.ch/uzh/50484438/timetable/HS19,20,irchellady,20192,,"Feb 11, 2020 6:19 PM"
Human Aspects of Software Engineering (L),12/16/2019 11:45 → 02/11/2020 8:00,de,"Dec 16, 2019 11:45 AM","Feb 11, 2020 8:00 AM",https://bestande.ch/uzh/50615016/HS19/chat,56,Polyinfluencer20,20192,,"Feb 11, 2020 6:21 PM"
MAT 141 Linear Algebra for Natural Sciences,02/06/2020 12:00 → 02/11/2020 16:00,en,"Feb 6, 2020 12:00 PM","Feb 11, 2020 4:00 PM",https://bestande.ch/uzh/50462642/HS19/chat,5,sagaciousyvery,20192,,"Feb 11, 2020 6:25 PM"
Computer Engineering and Computer Networks(L+E)(Technische Informatik und Kommunikationssysteme)-TIKS/CECN,01/09/2020 10:00 → 02/11/2020 11:11,de,"Jan 9, 2020 10:00 AM","Feb 11, 2020 11:11 AM",https://bestande.ch/uzh/50840773/HS19/chat,33,bwlGirl167,20192,,"Feb 11, 2020 6:27 PM"
Protocols for Multi-media Communications (PMMK) (L+E),01/15/2020 12:00 → 02/11/2020 11:12,en,"Jan 15, 2020 12:00 PM","Feb 11, 2020 11:12 AM",https://bestande.ch/uzh/50038031/HS19/timetable,26,icka,20192,,"Feb 11, 2020 6:28 PM"
BIO 113 Evolution,01/09/2020 0:00 → 02/11/2020 15:56,de,"Jan 9, 2020 12:00 AM","Feb 11, 2020 3:56 PM",https://bestande.ch/uzh/50033809/chat,33,bacteriophage,20192,,"Feb 11, 2020 6:31 PM"
BME 236 Biomedicine I,01/31/2020 15:00 → 02/11/2020 14:08,de,"Jan 31, 2020 3:00 PM","Feb 11, 2020 2:08 PM",https://bestande.ch/uzh/50804822/chat,10,biomediz,20192,,"Feb 11, 2020 6:33 PM"
Introduction to Health Economics and Policy,11/29/2019 15:15 → 02/12/2020 14:40,de,"Nov 29, 2019 3:15 PM","Feb 12, 2020 2:40 PM",https://bestande.ch/eth/363-1027-00L/chat,74,MensaMuggel,20192,,"Feb 11, 2020 7:11 PM"
BIO 260 Molecular Biology Course for Biology and Medicine,02/07/2020 17:30 → 02/12/2020 14:49,en,"Feb 7, 2020 5:30 PM","Feb 12, 2020 2:49 PM",https://bestande.ch/uzh/50030684/chat,4,Biomed_,20192,,"Feb 13, 2020 12:34 PM"
BIO 131 Form and Function of Plants,01/14/2020 15:30 → 02/13/2020 10:33,de,"Jan 14, 2020 3:30 PM","Feb 13, 2020 10:33 AM",https://bestande.ch/uzh/50795622/chat,29,mrlt,20192,,"Feb 13, 2020 12:34 PM"
BIO 445 Quantitative Life Sciences: from Infectious Diseases to Ecosystems,12/21/2019 17:00 → 02/13/2020 11:44,de,"Dec 21, 2019 5:00 PM","Feb 13, 2020 11:44 AM",https://bestande.ch/uzh/50797178/chat,53,ian,20192,,"Feb 13, 2020 12:36 PM"
BIO 348 Concepts in Modern Genetics,01/06/2020 12:00 → 02/11/2020 14:06,en,"Jan 6, 2020 12:00 PM","Feb 11, 2020 2:06 PM",https://bestande.ch/uzh/50312973/chat,36,beffy,20192,,"Feb 13, 2020 12:37 PM"
Betriebswirtschaftslehre I,12/19/2019 10:00 → 02/21/2020 15:25,de,"Dec 19, 2019 10:00 AM","Feb 21, 2020 3:25 PM",https://bestande.ch/uzh/50038000/chat,64,PruefungsHipster2,20192,,"Feb 13, 2020 12:39 PM"
BME 235 Physiology and anatomy I,01/29/2020 12:00 → 02/17/2020 13:32,de,"Jan 29, 2020 12:00 PM","Feb 17, 2020 1:32 PM",https://bestande.ch/uzh/50033787/chat,19,biomediz,20192,,"Feb 13, 2020 6:01 PM"
CHE 154 Physical Chemistry I for the Life Sciences,02/05/2020 12:00 → 02/26/2020 13:56,de,"Feb 5, 2020 12:00 PM","Feb 26, 2020 1:56 PM",https://bestande.ch/uzh/50772394/timetable,21,Vorlesungstourist11,20192,,"Feb 17, 2020 9:11 PM"
MAT 121 Analysis I,02/03/2020 12:00 → 02/23/2020 22:13,de,"Feb 3, 2020 12:00 PM","Feb 23, 2020 10:13 PM",https://bestande.ch/uzh/50743297/chat,20,lilili,20192,,"Mar 3, 2020 10:26 AM"
BME 357,03/11/2020 17:00 → 04/15/2020 12:00,en,"Mar 11, 2020 5:00 PM","Apr 15, 2020 12:00 PM",https://bestande.ch/uzh/50976123/chat,34,Biomed_,20201,,"Mar 3, 2020 10:45 AM"
Marketing Analytics,02/14/2020 17:00 → 04/23/2020 1:41,en,"Feb 14, 2020 5:00 PM","Apr 23, 2020 1:41 AM",https://bestande.ch/uzh/50873014/chat,68,herzli,20201,,"Apr 23, 2020 11:36 AM"
"R – A non-technical introduction to big data techniques, team work and interactive visualization with applications to Marketing (L)",02/07/2020 17:00 → 04/29/2020 6:53,de,"Feb 7, 2020 5:00 PM","Apr 29, 2020 6:53 AM",https://bestande.ch/uzh/50833102/chat,81,DivisionByZero,20201,,"Apr 23, 2020 1:42 PM"
Neuproduktmarketing,03/26/2020 13:30 → 04/27/2020 14:22,de,"Mar 26, 2020 1:30 PM","Apr 27, 2020 2:22 PM",https://bestande.ch/uzh/50799730/chat,32,herzli,20201,,"Apr 29, 2020 5:23 PM"
Marketing Management II (V),05/15/2020 12:00 → 05/26/2020 13:56,de,"May 15, 2020 12:00 PM","May 26, 2020 1:56 PM",https://bestande.ch/uzh/50575863/chat,11,Fleximusmaximus,20201,,"Apr 29, 2020 5:25 PM"
Blockchain,05/26/2020 12:00 → 06/02/2020 14:28,en,"May 26, 2020 12:00 PM","Jun 2, 2020 2:28 PM",https://bestande.ch/uzh/50923128/chat,7,Lichthofenthusiast7,20201,,"May 26, 2020 2:30 PM"
Sustainable Investing (L),05/06/2020 16:00 → 06/02/2020 13:58,en,"May 6, 2020 4:00 PM","Jun 2, 2020 1:58 PM",https://bestande.ch/uzh/50923127/chat,26,Lichthofenthusiast7,20201,,"Jun 2, 2020 10:12 PM"
Handelsmarketing-Seminar,04/24/2020 18:00 → 05/29/2020 17:44,de,"Apr 24, 2020 6:00 PM","May 29, 2020 5:44 PM",https://bestande.ch/uzh/50821229/chat,34,qnd,20201,,"Jun 2, 2020 10:15 PM"
Introduction to Statistics and Data Analysis,05/26/2020 15:45 → 06/05/2020 11:47,de,"May 26, 2020 3:45 PM","Jun 5, 2020 11:47 AM",https://bestande.ch/uzh/50942165/chat,9,newsdepriviert,20201,,"Jun 2, 2020 10:17 PM"
R - a non-technical introduction with applications to Marketing (L),03/20/2020 17:00 → 06/05/2020 11:28,de,"Mar 20, 2020 5:00 PM","Jun 5, 2020 11:28 AM",https://bestande.ch/uzh/50821129/chat,76,Diggi,20201,,"Jun 5, 2020 2:01 PM"
AST 248 The Sun and Planets,05/26/2020 12:00 → 06/04/2020 18:13,de,"May 26, 2020 12:00 PM","Jun 4, 2020 6:13 PM",https://bestande.ch/uzh/50823800/chat,9,NoAvocado,20201,,"Jun 5, 2020 2:02 PM"
BME 335 Regenerative Medicine and Applied Tissue Engineering,05/18/2020 10:00 → 06/04/2020 14:06,en,"May 18, 2020 10:00 AM","Jun 4, 2020 2:06 PM",https://bestande.ch/uzh/50687820/chat,17,blyatman69,20201,,"Jun 5, 2020 2:04 PM"
Managerial Accounting (V),05/28/2020 13:30 → 06/03/2020 19:11,de,"May 28, 2020 1:30 PM","Jun 3, 2020 7:11 PM",https://bestande.ch/uzh/50314878/chat,6,Der_Typ11,20201,,"Jun 5, 2020 2:06 PM"
Statistik,05/26/2020 11:30 → 06/11/2020 13:26,de,"May 26, 2020 11:30 AM","Jun 11, 2020 1:26 PM",https://bestande.ch/uzh/50030887/stats,16,zhaw,20201,,"Jun 5, 2020 2:06 PM"
Betriebswirtschaftslehre II,05/28/2020 9:30 → 06/10/2020 14:13,de,"May 28, 2020 9:30 AM","Jun 10, 2020 2:13 PM",https://bestande.ch/uzh/50030855/chat,13,pcregrep,20201,,"Jun 13, 2020 3:36 PM"
Verhandlungstheorie und -praxis,05/16/2020 16:00 → 06/10/2020 10:02,de,"May 16, 2020 4:00 PM","Jun 10, 2020 10:02 AM",https://bestande.ch/uzh/50313886/chat,24,Ernesto Guevara,20201,,"Jun 13, 2020 3:39 PM"
Mathematik II,05/25/2020 18:30 → 06/09/2020 11:21,de,"May 25, 2020 6:30 PM","Jun 9, 2020 11:21 AM",https://bestande.ch/uzh/50030886/chat,14,fico,20201,,"Jun 13, 2020 3:42 PM"
Communication and Media Law,05/25/2020 18:00 → 06/05/2020 18:10,de,"May 25, 2020 6:00 PM","Jun 5, 2020 6:10 PM",https://bestande.ch/uzh/50942160/chat,11,newsdepriviert,20201,,"Jun 13, 2020 3:44 PM"
Unternehmensplanspiel,02/06/2020 18:00 → 06/05/2020 16:21,de,"Feb 6, 2020 6:00 PM","Jun 5, 2020 4:21 PM",https://bestande.ch/uzh/50938781/chat,119,Patrick Star,20201,,"Jun 13, 2020 3:49 PM"
Comparative & International Political Economy (Lecture),05/27/2020 12:00 → 06/05/2020 16:52,de,"May 27, 2020 12:00 PM","Jun 5, 2020 4:52 PM",https://bestande.ch/uzh/50942121/chat,9,politostudent,20201,,"Jun 13, 2020 3:50 PM"
BCH 210 Biochemistry for students of Biology,06/12/2020 14:30 → 06/19/2020 10:57,de,"Jun 12, 2020 2:30 PM","Jun 19, 2020 10:57 AM",https://bestande.ch/uzh/50404924/chat,6,Bliblablu,20201,,"Jun 13, 2020 3:55 PM"
Political Theory (Lecture),05/27/2020 9:45 → 06/05/2020 16:52,de,"May 27, 2020 9:45 AM","Jun 5, 2020 4:52 PM",https://bestande.ch/uzh/50942126/chat,9,politostudent,20201,,"Jun 13, 2020 3:55 PM"
Corporate Entrepreneurship (S),05/13/2020 18:00 → 06/18/2020 11:31,de,"May 13, 2020 6:00 PM","Jun 18, 2020 11:31 AM",https://bestande.ch/uzh/50461417/chat,35,King G,20201,,"Jun 20, 2020 4:42 PM"
CHE 172 Organic Chemistry for the Life Sciences,06/17/2020 15:00 → 06/18/2020 20:01,de,"Jun 17, 2020 3:00 PM","Jun 18, 2020 8:01 PM",https://bestande.ch/uzh/50047888/FS20/chat,1,biomediz,20201,,"Jun 20, 2020 4:49 PM"
BCH 205 Practical Course in Biochemistry II,05/29/2020 17:30 → 06/18/2020 14:58,de,"May 29, 2020 5:30 PM","Jun 18, 2020 2:58 PM",https://bestande.ch/uzh/50836006/FS20/chat,19,blyatman69,20201,,"Jun 20, 2020 4:52 PM"
BIO 144 Data analysis in biology,06/09/2020 12:00 → 06/18/2020 10:25,de,"Jun 9, 2020 12:00 PM","Jun 18, 2020 10:25 AM",https://bestande.ch/uzh/50833390/FS20/chat,8,Elefäntli9,20201,,"Jun 20, 2020 4:55 PM"
BIO 413 Genome modification in the mouse,05/29/2020 17:00 → 06/17/2020 12:06,de,"May 29, 2020 5:00 PM","Jun 17, 2020 12:06 PM",https://bestande.ch/uzh/50829119/FS20/chat,18,Biomed_,20201,,"Jun 20, 2020 4:57 PM"
Banking and Finance II (L+E),05/29/2020 11:30 → 06/18/2020 11:39,de,"May 29, 2020 11:30 AM","Jun 18, 2020 11:39 AM",https://bestande.ch/uzh/50820164/FS20/chat,20,bqmboy0,20201,,"Jun 20, 2020 4:59 PM"
Einführung in die Geldpolitik (V + Ü) (Introduction to Monetary Policy),06/05/2020 13:45 → 06/17/2020 10:30,de,"Jun 5, 2020 1:45 PM","Jun 17, 2020 10:30 AM",https://bestande.ch/uzh/50887379/FS20/chat,11,otw,20201,,"Jun 20, 2020 5:01 PM"
Web and mobile accessibility (L+E),05/22/2020 16:00 → 06/17/2020 10:35,de,"May 22, 2020 4:00 PM","Jun 17, 2020 10:35 AM",https://bestande.ch/uzh/50997795/FS20/chat,25,DivisionByZero,20201,,"Jun 20, 2020 5:05 PM"
Logistikmanagement (V) (Logistics Management),06/02/2020 19:00 → 06/16/2020 19:00,de,"Jun 2, 2020 7:00 PM","Jun 16, 2020 7:00 PM",https://bestande.ch/uzh/50033938/FS20/chat,14,BwlAficionado6,20201,,"Jun 20, 2020 5:07 PM"
Betriebswirtschaftliche Steuerlehre I (V) (Taxation of Companies I),06/08/2020 10:00 → 06/15/2020 15:51,de,"Jun 8, 2020 10:00 AM","Jun 15, 2020 3:51 PM",https://bestande.ch/uzh/50019527/FS20/chat,7,agglozürcher,20201,,"Jun 20, 2020 5:10 PM"
Basic Theories of Communication Science,05/28/2020 13:45 → 06/15/2020 15:25,de,"May 28, 2020 1:45 PM","Jun 15, 2020 3:25 PM",https://bestande.ch/uzh/50942153/FS20/chat,18,newsdepriviert,20201,,"Jun 20, 2020 5:16 PM"
Advanced Corporate Finance II (L),05/26/2020 12:00 → 06/15/2020 11:34,de,"May 26, 2020 12:00 PM","Jun 15, 2020 11:34 AM",https://bestande.ch/uzh/50034087/FS20/chat,19,Philoenthusiast14,20201,,"Jun 20, 2020 5:19 PM"
Managementvergütung und Anreizsysteme (VU) (Executive Compensation and Incentive Systems),06/08/2020 15:00 → 06/15/2020 10:35,de,"Jun 8, 2020 3:00 PM","Jun 15, 2020 10:35 AM",https://bestande.ch/uzh/50621407/FS20/chat,6,BS7,20201,,"Jun 20, 2020 5:20 PM"
BCH 202 Biochemistry II,06/11/2020 16:00 → 06/15/2020 11:08,de,"Jun 11, 2020 4:00 PM","Jun 15, 2020 11:08 AM",https://bestande.ch/uzh/50770917/FS20/chat,3,biomed,20201,,"Jun 20, 2020 5:22 PM"
Intermediate Econometrics (L&E),06/16/2020 12:00 → 06/23/2020 9:01,de,"Jun 16, 2020 12:00 PM","Jun 23, 2020 9:01 AM",https://bestande.ch/uzh/50719200/chat,6,Michael Wolf,20201,,"Jun 20, 2020 5:23 PM"
Behavioral Ethics (S),06/09/2020 16:00 → 06/23/2020 9:36,de,"Jun 9, 2020 4:00 PM","Jun 23, 2020 9:36 AM",https://bestande.ch/uzh/50821473/timetable,13,kuckowow,20201,,"Jun 23, 2020 10:31 AM"
Financial Reporting (L+E),05/27/2020 11:30 → 06/29/2020 13:56,de,"May 27, 2020 11:30 AM","Jun 29, 2020 1:56 PM",https://bestande.ch/uzh/50873019/chat,33,bqmboy0,20201,,"Jun 23, 2020 10:33 AM"
Verhaltensökonomie (V) (Behavioral Economics),06/18/2020 18:00 → 06/29/2020 14:47,de,"Jun 18, 2020 6:00 PM","Jun 29, 2020 2:47 PM",https://bestande.ch/uzh/50819815/chat,10,MensaDoktor0,20201,,"Jun 30, 2020 11:01 AM"
Introduction to Strategic Management (L+E),06/10/2020 16:00 → 06/29/2020 14:04,de,"Jun 10, 2020 4:00 PM","Jun 29, 2020 2:04 PM",https://bestande.ch/uzh/50771677/chat,18,Michael Wolf,20201,,"Jun 30, 2020 11:05 AM"
Soziale Krankenversicherung (V) (Social Health Insurance),06/10/2020 16:00 → 06/29/2020 12:45,de,"Jun 10, 2020 4:00 PM","Jun 29, 2020 12:45 PM",https://bestande.ch/uzh/50354250/chat,18,ueli,20201,,"Jun 30, 2020 11:08 AM"
"Service Management: Operations, Strategie und e-Services (L+E)",06/09/2020 15:45 → 06/29/2020 12:08,de,"Jun 9, 2020 3:45 PM","Jun 29, 2020 12:08 PM",https://bestande.ch/uzh/50431595/chat,19,ASVZrelax,20201,,"Jun 30, 2020 11:09 AM"
Behavioral Finance and Private Banking (L),06/16/2020 12:00 → 06/29/2020 12:03,de,"Jun 16, 2020 12:00 PM","Jun 29, 2020 12:03 PM",https://bestande.ch/uzh/50431626/chat,13,qnd,20201,,"Jun 30, 2020 11:21 AM"
Interdisziplinäre Sichtweisen zur Frage der Verantwortung und die (Dys-) Funktionen der Finanzmärkte,06/16/2020 12:00 → 06/24/2020 9:04,de,"Jun 16, 2020 12:00 PM","Jun 24, 2020 9:04 AM",https://bestande.ch/uzh/50618832/chat,7,philoavocado18,20201,,"Jun 30, 2020 11:23 AM"
GEO 246 Statistics,06/05/2020 12:30 → 06/27/2020 0:12,de,"Jun 5, 2020 12:30 PM","Jun 27, 2020 12:12 AM",https://bestande.ch/uzh/50780159/timetable,21,Chondrichthyles,20201,,"Jun 30, 2020 11:28 AM"
GEO 123 Remote Sensing and Geographic Information Science II,06/05/2020 10:00 → 06/27/2020 0:12,de,"Jun 5, 2020 10:00 AM","Jun 27, 2020 12:12 AM",https://bestande.ch/uzh/50780152/chat,21,Chondrichthyles,20201,,"Jun 30, 2020 11:30 AM"
GEO 362 Advanced Economic Geography,05/28/2020 12:00 → 06/26/2020 20:25,de,"May 28, 2020 12:00 PM","Jun 26, 2020 8:25 PM",https://bestande.ch/uzh/50740452/chat,29,Chondrichthyles,20201,,"Jun 30, 2020 11:33 AM"
GEO 243 Remote Sensing and Geographic Information Science IV,06/03/2020 10:00 → 06/26/2020 20:26,de,"Jun 3, 2020 10:00 AM","Jun 26, 2020 8:26 PM",https://bestande.ch/uzh/50780158/chat,23,Chondrichthyles,20201,,"Jun 30, 2020 11:34 AM"
Quantitative Finance (L+E),06/16/2020 18:00 → 06/26/2020 10:11,de,"Jun 16, 2020 6:00 PM","Jun 26, 2020 10:11 AM",https://bestande.ch/uzh/50820337/chat,9,gigolo,20201,,"Jun 30, 2020 11:36 AM"
Makroökonomik II (V+Ü) (Macroeconomics II),05/26/2020 15:00 → 06/26/2020 10:41,de,"May 26, 2020 3:00 PM","Jun 26, 2020 10:41 AM",https://bestande.ch/uzh/50822518/chat,30,DeinUsername,20201,,"Jun 30, 2020 11:37 AM"
"Ethical, legal and social aspects of cybersecurity (L+E)",05/28/2020 18:00 → 06/26/2020 9:56,de,"May 28, 2020 6:00 PM","Jun 26, 2020 9:56 AM",https://bestande.ch/uzh/50996992/chat,28,DivisionByZero,20201,,"Jun 30, 2020 11:39 AM"
BIO 123 Quantitative and Molecular Systems Biology,06/24/2020 14:00 → 06/25/2020 21:36,de,"Jun 24, 2020 2:00 PM","Jun 25, 2020 9:36 PM",https://bestande.ch/uzh/50773478/chat,1,Dils,20201,,"Jun 30, 2020 11:48 AM"
UWW 174 Sustainability and Society,05/27/2020 12:00 → 06/25/2020 12:17,de,"May 27, 2020 12:00 PM","Jun 25, 2020 12:17 PM",https://bestande.ch/uzh/50728226/chat,29,Nurnoloco,20201,,"Jun 30, 2020 11:50 AM"
European Politics (Lecture),05/27/2020 18:00 → 06/25/2020 9:41,de,"May 27, 2020 6:00 PM","Jun 25, 2020 9:41 AM",https://bestande.ch/uzh/50942130/chat,28,politostudent,20201,,"Jun 30, 2020 11:50 AM"
BIO 124 Introduction to ethics and philosophy of biology,06/22/2020 15:45 → 06/25/2020 8:08,de,"Jun 22, 2020 3:45 PM","Jun 25, 2020 8:08 AM",https://bestande.ch/uzh/50780596/chat,2,awesomechiller6,20201,,"Jun 30, 2020 11:51 AM"
Informatics II (V+Ü) (Informatik II),05/27/2020 15:30 → 06/24/2020 16:15,de,"May 27, 2020 3:30 PM","Jun 24, 2020 4:15 PM",https://bestande.ch/uzh/50819883/chat,28,Leste Beben,20201,,"Jun 30, 2020 11:54 AM"
